Rows Date Seconds Milliseconds
1 -- 2023-03-21-22-35 -- 22 -- 149941
2 -- 2023-03-21-22-35 -- 22 -- 160924
3 -- 2023-03-21-22-35 -- 22 -- 171142
4 -- 2023-03-21-22-35 -- 22 -- 183676
5 -- 2023-03-21-22-35 -- 22 -- 196178
6 -- 2023-03-21-22-35 -- 22 -- 208717
7 -- 2023-03-21-22-35 -- 22 -- 219590
8 -- 2023-03-21-22-35 -- 22 -- 232122
9 -- 2023-03-21-22-35 -- 22 -- 244642
10 -- 2023-03-21-22-35 -- 22 -- 255642
11 -- 2023-03-21-22-35 -- 22 -- 268001
12 -- 2023-03-21-22-35 -- 22 -- 278259
13 -- 2023-03-21-22-35 -- 22 -- 290786
14 -- 2023-03-21-22-35 -- 22 -- 303304
15 -- 2023-03-21-22-35 -- 22 -- 315647
16 -- 2023-03-21-22-35 -- 22 -- 328205
17 -- 2023-03-21-22-35 -- 22 -- 339605
18 -- 2023-03-21-22-35 -- 22 -- 352154
19 -- 2023-03-21-22-35 -- 22 -- 364709
20 -- 2023-03-21-22-35 -- 22 -- 377256
21 -- 2023-03-21-22-35 -- 22 -- 388420
22 -- 2023-03-21-22-35 -- 22 -- 400964
23 -- 2023-03-21-22-35 -- 22 -- 413510
24 -- 2023-03-21-22-35 -- 22 -- 425011
25 -- 2023-03-21-22-35 -- 22 -- 437535
26 -- 2023-03-21-22-35 -- 22 -- 450066
27 -- 2023-03-21-22-35 -- 22 -- 462589
28 -- 2023-03-21-22-35 -- 22 -- 475111
29 -- 2023-03-21-22-35 -- 22 -- 487637
30 -- 2023-03-21-22-35 -- 22 -- 500146
31 -- 2023-03-21-22-35 -- 22 -- 512668
32 -- 2023-03-21-22-35 -- 22 -- 525197
33 -- 2023-03-21-22-35 -- 22 -- 537723
34 -- 2023-03-21-22-35 -- 22 -- 550249
35 -- 2023-03-21-22-35 -- 22 -- 562788
36 -- 2023-03-21-22-35 -- 22 -- 575323
37 -- 2023-03-21-22-35 -- 22 -- 587920
38 -- 2023-03-21-22-35 -- 22 -- 599121
39 -- 2023-03-21-22-35 -- 22 -- 610527
40 -- 2023-03-21-22-35 -- 22 -- 623068
41 -- 2023-03-21-22-35 -- 22 -- 633725
42 -- 2023-03-21-22-35 -- 22 -- 644171
43 -- 2023-03-21-22-35 -- 22 -- 656703
44 -- 2023-03-21-22-35 -- 22 -- 669026
45 -- 2023-03-21-22-35 -- 22 -- 680098
46 -- 2023-03-21-22-35 -- 22 -- 691957
47 -- 2023-03-21-22-35 -- 22 -- 702257
48 -- 2023-03-21-22-35 -- 22 -- 714772
49 -- 2023-03-21-22-35 -- 22 -- 727295
50 -- 2023-03-21-22-35 -- 22 -- 739824
51 -- 2023-03-21-22-35 -- 22 -- 752337
52 -- 2023-03-21-22-35 -- 22 -- 764857
53 -- 2023-03-21-22-35 -- 22 -- 777390
54 -- 2023-03-21-22-35 -- 22 -- 789920
55 -- 2023-03-21-22-35 -- 22 -- 800143
56 -- 2023-03-21-22-35 -- 22 -- 812678
57 -- 2023-03-21-22-35 -- 22 -- 825220
58 -- 2023-03-21-22-35 -- 22 -- 837780
59 -- 2023-03-21-22-35 -- 22 -- 850316
60 -- 2023-03-21-22-35 -- 22 -- 861607
61 -- 2023-03-21-22-35 -- 22 -- 872944
62 -- 2023-03-21-22-35 -- 22 -- 885499
63 -- 2023-03-21-22-35 -- 22 -- 898018
64 -- 2023-03-21-22-35 -- 22 -- 910274
65 -- 2023-03-21-22-35 -- 22 -- 922836
66 -- 2023-03-21-22-35 -- 22 -- 935205
67 -- 2023-03-21-22-35 -- 22 -- 947594
68 -- 2023-03-21-22-35 -- 22 -- 958548
69 -- 2023-03-21-22-35 -- 22 -- 968930
70 -- 2023-03-21-22-35 -- 22 -- 979093
71 -- 2023-03-21-22-35 -- 22 -- 990249
72 -- 2023-03-21-22-35 -- 23 -- 2422
73 -- 2023-03-21-22-35 -- 23 -- 14256
74 -- 2023-03-21-22-35 -- 23 -- 26777
75 -- 2023-03-21-22-35 -- 23 -- 39292
76 -- 2023-03-21-22-35 -- 23 -- 51803
77 -- 2023-03-21-22-35 -- 23 -- 64316
78 -- 2023-03-21-22-35 -- 23 -- 75417
79 -- 2023-03-21-22-35 -- 23 -- 86263
80 -- 2023-03-21-22-35 -- 23 -- 97505
81 -- 2023-03-21-22-35 -- 23 -- 110033
82 -- 2023-03-21-22-35 -- 23 -- 121875
83 -- 2023-03-21-22-35 -- 23 -- 134407
84 -- 2023-03-21-22-35 -- 23 -- 146946
85 -- 2023-03-21-22-35 -- 23 -- 159483
86 -- 2023-03-21-22-35 -- 23 -- 171584
87 -- 2023-03-21-22-35 -- 23 -- 184111
88 -- 2023-03-21-22-35 -- 23 -- 195582
89 -- 2023-03-21-22-35 -- 23 -- 208123
90 -- 2023-03-21-22-35 -- 23 -- 220548
91 -- 2023-03-21-22-35 -- 23 -- 232913
92 -- 2023-03-21-22-35 -- 23 -- 243884
93 -- 2023-03-21-22-35 -- 23 -- 256422
94 -- 2023-03-21-22-35 -- 23 -- 268947
95 -- 2023-03-21-22-35 -- 23 -- 281460
96 -- 2023-03-21-22-35 -- 23 -- 293987
97 -- 2023-03-21-22-35 -- 23 -- 306305
98 -- 2023-03-21-22-35 -- 23 -- 318294
99 -- 2023-03-21-22-35 -- 23 -- 328590
100 -- 2023-03-21-22-35 -- 23 -- 339643
101 -- 2023-03-21-22-35 -- 23 -- 352160
102 -- 2023-03-21-22-35 -- 23 -- 363583
103 -- 2023-03-21-22-35 -- 23 -- 374288
104 -- 2023-03-21-22-35 -- 23 -- 385379
105 -- 2023-03-21-22-35 -- 23 -- 397953
